,Product_Name,Source,Ratings,Brand,Price,Actual_price,Category
1560,TRION Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/7102866/c8/f0/43inchbezelless.jpg.37be95c8f0.999x185x185.jpg,4.0 - 4.49,TRION,"9,829.00","18,000.00",Television TV 
1561,VOLTRIQ Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/6408256/64/0e/1.92.jpg.edb2cb640e.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"9,861.00","29,900.00",Television TV 
1562,VOLTRIQ Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/6408256/7a/73/1.94.jpg.12f65d7a73.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"9,895.00","29,900.00",Television TV 
1563,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/4673235/5a/e6/image2copycopy2.jpg.36d8ea5ae6.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"9,897.00","21,990.00",Television TV 
1564,HYPHER  UNINTERN JOBS PRIVATE LIMITED Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/4673235/5a/e6/image2copy.jpg.36d8ea5ae6.999x185x185.jpg,4.0 - 4.49,HYPHER--UNINTERN JOBS PRIVATE LIMITED,"9,899.00","21,990.00",Television TV 
1565,MEPL Smart Television Tv 32 Inch Smart TV (Android TV),https://assets-mkpbg.gem.gov.in/img/othe/4302157/f5/e1/ledtv.jpeg.e285aff5e1.999x185x185.jpg,4.0 - 4.49,MEPL,"9,980.00","24,900.00",Television TV 
1566,SAMSUNG Smart Television Tv 24 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/1671210/22/f6/1609293253416bqb24rt001frontblack.jpg.cbb3a822f6.999x185x185.jpg,4.5 - 5.0,SAMSUNG,"9,990.00","90,000.00",Television TV 
1567,VOLTRIQ Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/6408256/e3/d0/1.1.jpg.80b7aee3d0.999x185x185.jpg,4.0 - 4.49,VOLTRIQ,"9,997.00","29,900.00",Television TV 
1568,TRION Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/7102866/2b/48/ledtvimage43inch.jpeg.5186fa2b48.999x185x185.jpg,4.0 - 4.49,TRION,"9,998.00","18,950.00",Television TV 
1569,TRION Smart Television Tv 32 Inch LED Backlit LCD,https://assets-mkpbg.gem.gov.in/img/othe/7102866/2b/48/ledtvimage43inch.jpeg.5186fa2b48.999x185x185.jpg,4.5 - 5.0,TRION,"9,999.00","25,000.00",Television TV 
